job_no,domain,roles,companies,locations,experience,salaries,skills
95,Data & AI,"Engineer Lead , Artificial Intelligence / Machine Learning",FIS,Pune,10-15 Yrs,Not Disclosed,"Artificial Intelligence,Machine learning,python,llm,redis,pandas,tensorflow,restful apis"
96,Data & AI,"Engineer Lead , Artificial Intelligence / Machine Learning",FIS,Pune,10-15 Yrs,Not Disclosed,"Machine Learning,Tensorflow,Azure,Capital Markets,Compliance,Artificial Intelligence,Ai,Redis"
97,Data & AI,"Engineer Lead, Artificial Intelligence / Machine Learning (GitHub",FIS,Pune,8-13 Yrs,Not Disclosed,"github,python,restful,ai,machine learning,llm,artificial intelligence,redis"
98,Data & AI,Staff Engineer- AI/Machine Learning R&D,Qualcomm,Bengaluru,4-9 Yrs,Not Disclosed,"R&D,algorithms,python,eda,soc,ai,hardware engineering,machine learning"
99,Data & AI,Machine Learning Engineer,Bytebillion,Indore,4-7 Yrs,Not Disclosed,"algorithms,python,c++,data pipeline,machine learning,artificial intelligence,deep learning,tensorflow"
100,Data & AI,Data Scientist / Machine Learning Engineer,LateShipment.com,Chennai,5-8 Yrs,Not Disclosed,"Python,C#,GenAI/LLM tools,Java,Azure,CrewAI,NetSuite ERP,nltk"
101,Data & AI,Data Analyst,Capgemini,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,Not Disclosed,"Power Bi,Data Analysis,Data Visualization,Tableau,Data Analytics,SQL,Analytics,Analysis"
102,Data & AI,Data Analyst,Sbicap Securities,Mumbai,NA,10-15 Lacs PA,"Data Analysis,Predictive Modeling,Statistical Modeling,Data Analytics,SQL,Python,Predictive Analytics,Predictive"
103,Data & AI,Data Analyst,Wonderla Holidays,Bengaluru,3-5 Yrs,"50,000-80,000 PA","D2C,Google Data Studio,R,Google Analytics,Power Bi,business metrics,Campaign Analytics,Tableau"
104,Data & AI,Data Analyst,Snapdeal,Gurugram,1-6 Yrs,Not Disclosed,"master data,python,metadata,data analysis,data analytics,data management,configuration,data mining"
105,Data & AI,Data Analyst,Tata Consultancy Services,"Pune, Bengaluru",4-8 Yrs,Not Disclosed,"Data Analysis,Data Warehousing,Data Analytics,SQL,Data,Analysis,Warehouse,Analytics"
106,Data & AI,Procurement Data Analyst,G4S,Remote,2-5 Yrs,7-9 Lacs PA,"Google Sheets,Excel,SAP,Power Bi,Looker Studio,Tableau,Oracle,Supply Chain"
107,Data & AI,Data Analyst,Kiya.ai,"Hybrid - Bengaluru, Mumbai (All Areas)",3-7 Yrs,5-11 Lacs PA,"Power Bi,Data Analysis,Tableau,SQL,Capital Market,Investment Banking,Risk Assessment,Risk"
108,Data & AI,Data Analyst (Procurement & REWS),WPP,Mumbai,3-5 Yrs,Not Disclosed,"erp,data analysis,data analytics,supply chain,real estate,power bi,transformation,real estate management"
109,Data & AI,Data Analyst | ETL | Informatica - Hyderabad (Female candidates),Infosys,Hyderabad,3-5 Yrs,Not Disclosed,"ETL,Etl Pipelines,Data Quality,Data Pipeline,Informatica,Data Warehousing,Data Modeling,Data Integration"
110,Data & AI,Auth Fraud Supervisor- Data Analyst,National Institute for Smart Government (NISG),Bengaluru,6-10 Yrs,13-23 Lacs PA,"Data Analysis,Python,R,SQL,Business Analysis,Data,Fraud,Analysis"
111,Data & AI,Data Analyst,Tata Consultancy Services,"Pune, Bengaluru",4-8 Yrs,25-40 Lacs PA,"Power Bi,Data Analyst,Tableau,SQL,Data Analytics,Hadoop,GCP,Data Analysis"
112,Data & AI,Online Data Analyst Odia (IN),TELUS Digital,Remote,0-5 Yrs,Not Disclosed,"Oriya,oriya speaker,odiya,Language Editing,Power Bi,Artificial Intelligence,Content Writing,content"
113,Data & AI,Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2.75-5 Lacs PA,"Google Data Studio,Power Bi,MS Office,SQL,Data Analytics,Large Databases,Google Sheets,data vis"
114,Data & AI,Data Analyst,Acciojob,"Noida, Hyderabad, Pune",0-2 Yrs,4-9 Lacs PA,"Power Bi,Data Analytics,SQL,Data Analysis,Data Visualization,Machine Learning,Python,Machine"
115,Data & AI,Data Analyst - Invoice 360,Mostedge,Hyderabad,1-3 Yrs,Not Disclosed,"Power BI,Advanced MS Excel,Tableau,Data Analytics,python,data analysis,data validation,mathematics"
116,Data & AI,Data Analyst,Concept Kart,New Delhi,0-4 Yrs,3-4 Lacs PA,"Data Analysis,Power Bi,Data Analytics,SQL,Analytics,Bi,Analysis,Data"
117,Data & AI,Data Analyst,Narayana Health (NH),Hybrid - Bengaluru,0-1 Yrs,Not Disclosed,"Data Visualization,Data Analytics,SQL,Power BI,Problem Solving,Tableau,Python,Data"
118,Data & AI,Splunk Data Analyst,Apptad,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",0-3 Yrs,Not Disclosed,"python,data analysis,data analytics,ssas,data mining,power bi,data warehousing,business analysis"
119,Data & AI,Data Analyst,Capco,Bengaluru,0-7 Yrs,Not Disclosed,"Data analysis,Automation,Management consulting,Test scenarios,Data Analyst,Data quality,Financial services,Balance Sheet"
120,Data & AI,Data Analyst,Lloyds Technology Centre India,Hyderabad,8-15 Yrs,Not Disclosed,"Customer Advisor,Change management,Data management,Management systems,IT security,Strategic planning,Support services,Data Analyst"
121,Data & AI,Data Analyst,Capgemini,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,Not Disclosed,"Power Bi,Data Analysis,Data Visualization,Tableau,Data Analytics,SQL,Analytics,Analysis"
122,Data & AI,Data Analyst,Sbicap Securities,Mumbai,NA,10-15 Lacs PA,"Data Analysis,Predictive Modeling,Statistical Modeling,Data Analytics,SQL,Python,Predictive Analytics,Predictive"
123,Data & AI,Data Analyst,Wonderla Holidays,Bengaluru,3-5 Yrs,"50,000-80,000 PA","D2C,Google Data Studio,R,Google Analytics,Power Bi,business metrics,Campaign Analytics,Tableau"
124,Data & AI,Data Analyst,Snapdeal,Gurugram,1-6 Yrs,Not Disclosed,"master data,python,metadata,data analysis,data analytics,data management,configuration,data mining"
125,Data & AI,Data Analyst,Tata Consultancy Services,"Pune, Bengaluru",4-8 Yrs,Not Disclosed,"Data Analysis,Data Warehousing,Data Analytics,SQL,Data,Analysis,Warehouse,Analytics"
126,Data & AI,Procurement Data Analyst,G4S,Remote,2-5 Yrs,7-9 Lacs PA,"Google Sheets,Excel,SAP,Power Bi,Looker Studio,Tableau,Oracle,Supply Chain"
127,Data & AI,Data Analyst,Kiya.ai,"Hybrid - Bengaluru, Mumbai (All Areas)",3-7 Yrs,5-11 Lacs PA,"Power Bi,Data Analysis,Tableau,SQL,Capital Market,Investment Banking,Risk Assessment,Risk"
128,Data & AI,Data Analyst (Procurement & REWS),WPP,Mumbai,3-5 Yrs,Not Disclosed,"erp,data analysis,data analytics,supply chain,real estate,power bi,transformation,real estate management"
129,Data & AI,Data Analyst | ETL | Informatica - Hyderabad (Female candidates),Infosys,Hyderabad,3-5 Yrs,Not Disclosed,"ETL,Etl Pipelines,Data Quality,Data Pipeline,Informatica,Data Warehousing,Data Modeling,Data Integration"
130,Data & AI,Auth Fraud Supervisor- Data Analyst,National Institute for Smart Government (NISG),Bengaluru,6-10 Yrs,13-23 Lacs PA,"Data Analysis,Python,R,SQL,Business Analysis,Data,Fraud,Analysis"
131,Data & AI,Data Analyst,Tata Consultancy Services,"Pune, Bengaluru",4-8 Yrs,25-40 Lacs PA,"Power Bi,Data Analyst,Tableau,SQL,Data Analytics,Hadoop,GCP,Data Analysis"
132,Data & AI,Online Data Analyst Odia (IN),TELUS Digital,Remote,0-5 Yrs,Not Disclosed,"Oriya,oriya speaker,odiya,Language Editing,Power Bi,Artificial Intelligence,Content Writing,content"
133,Data & AI,Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-2 Yrs,2.75-5 Lacs PA,"Google Data Studio,Power Bi,MS Office,SQL,Data Analytics,Large Databases,Google Sheets,data vis"
134,Data & AI,Data Analyst,Acciojob,"Noida, Hyderabad, Pune",0-2 Yrs,4-9 Lacs PA,"Power Bi,Data Analytics,SQL,Data Analysis,Data Visualization,Machine Learning,Python,Machine"
135,Data & AI,Data Analyst - Invoice 360,Mostedge,Hyderabad,1-3 Yrs,Not Disclosed,"Power BI,Advanced MS Excel,Tableau,Data Analytics,python,data analysis,data validation,mathematics"
136,Data & AI,Data Analyst,Concept Kart,New Delhi,0-4 Yrs,3-4 Lacs PA,"Data Analysis,Power Bi,Data Analytics,SQL,Analytics,Bi,Analysis,Data"
